Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,WX1,162.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
1,WX2,162.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
2,WX3,162.475000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
3,WX4,162.425000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
4,WX5,162.450000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
5,WX6,162.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
6,WX7,162.525000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
7,GM1,462.562500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
8,GM2,462.587500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
9,GM3,462.612500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
10,GM4,462.637500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
11,GM5,462.662500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
12,GM6,462.687500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
13,GM7,462.712500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
14,GM8,467.562500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
15,GM9,467.587500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
16,GM10,467.612500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
17,GM11,467.637500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
18,GM12,467.662500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
19,GM13,467.687500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
20,GM14,467.712500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
21,GM15,462.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
22,GM16,462.575000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
23,GM17,462.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
24,GM18,462.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
25,GM19,462.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
26,GM20,462.675000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
27,GM21,462.700000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
28,GM22,462.725000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
29,GM15RP,467.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
30,GM16RP,467.575000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
31,GM17RP,467.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
32,GM18RP,467.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
33,GM19RP,467.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
34,GM20RP,467.675000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
35,GM21RP,467.700000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
36,GM22RP,467.725000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
37,WW7PSR,146.960000,-,0.600000,Tone,103.5,103.5,023,NN,FM,5.00,,"Seattle, Capitol Hill",,,,
38,WA7FUS,224.220000,-,1.600000,Tone,103.5,88.5,023,NN,FM,5.00,,Lake Forest Park,,,,
